2017-05-22 06:00:30.508: ACT: MainWearActivity onCreate Complete
2017-05-22 06:00:31.874: GPS: Normal Poller now requestingLocationUpdates at 2000ms intervals
2017-05-22 06:00:32.072: GPS: Location received:Location[fused 53.000000,0.000000 acc=20 et=+43s799ms alt=0.0]state is normallPoller
2017-05-22 06:00:32.072: GPS: Good Location received:Location[fused 53.000000,0.000000 acc=20 et=+43s799ms alt=0.0] fromLocationHandler
2017-05-22 06:03:05.406: ACT: Starting to record
2017-05-22 06:03:14.383: GPS: Location received:Location[fused 54.145370,-2.290220 acc=43 et=+3m26s107ms alt=0.0 vel=13.89 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:14.383: GPS: Good Location received:Location[fused 54.145370,-2.290220 acc=43 et=+3m26s107ms alt=0.0 vel=13.89 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:18.326: GPS: Location received:Location[fused 54.145753,-2.289690 acc=36 et=+3m30s41ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:18.326: GPS: Good Location received:Location[fused 54.145753,-2.289690 acc=36 et=+3m30s41ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:20.379: GPS: Location received:Location[fused 54.145946,-2.289422 acc=45 et=+3m32s106ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:20.379: GPS: Good Location received:Location[fused 54.145946,-2.289422 acc=45 et=+3m32s106ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:24.313: GPS: Location received:Location[fused 54.146308,-2.288865 acc=33 et=+3m36s40ms alt=0.0 vel=13.89 bear=51.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:24.313: GPS: Good Location received:Location[fused 54.146308,-2.288865 acc=33 et=+3m36s40ms alt=0.0 vel=13.89 bear=51.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:26.379: GPS: Location received:Location[fused 54.146363,-2.288452 acc=44 et=+3m38s107ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:26.380: GPS: Good Location received:Location[fused 54.146363,-2.288452 acc=44 et=+3m38s107ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:30.319: GPS: Location received:Location[fused 54.146472,-2.287625 acc=34 et=+3m42s46ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:30.319: GPS: Good Location received:Location[fused 54.146472,-2.287625 acc=34 et=+3m42s46ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:34.326: GPS: Location received:Location[fused 54.146580,-2.286799 acc=31 et=+3m46s45ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:34.326: GPS: Good Location received:Location[fused 54.146580,-2.286799 acc=31 et=+3m46s45ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:36.323: GPS: Location received:Location[fused 54.146633,-2.286384 acc=31 et=+3m48s51ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:36.323: GPS: Good Location received:Location[fused 54.146633,-2.286384 acc=31 et=+3m48s51ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:38.329: GPS: Location received:Location[fused 54.146685,-2.285972 acc=47 et=+3m50s52ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:38.329: GPS: Good Location received:Location[fused 54.146685,-2.285972 acc=47 et=+3m50s52ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:40.336: GPS: Location received:Location[fused 54.146738,-2.285558 acc=49 et=+3m52s52ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:40.336: GPS: Good Location received:Location[fused 54.146738,-2.285558 acc=49 et=+3m52s52ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:44.326: GPS: Location received:Location[fused 54.146842,-2.284731 acc=50 et=+3m56s54ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:44.326: GPS: Good Location received:Location[fused 54.146842,-2.284731 acc=50 et=+3m56s54ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:48.347: GPS: Location received:Location[fused 54.146816,-2.283930 acc=46 et=+4m0s67ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:48.347: GPS: Good Location received:Location[fused 54.146816,-2.283930 acc=46 et=+4m0s67ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:52.339: GPS: Location received:Location[fused 54.146610,-2.283161 acc=46 et=+4m4s67ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:52.339: GPS: Good Location received:Location[fused 54.146610,-2.283161 acc=46 et=+4m4s67ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:54.352: GPS: Location received:Location[fused 54.146507,-2.282775 acc=39 et=+4m6s79ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:54.352: GPS: Good Location received:Location[fused 54.146507,-2.282775 acc=39 et=+4m6s79ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:58.346: GPS: Location received:Location[fused 54.146105,-2.282280 acc=45 et=+4m10s73ms alt=0.0 vel=13.89 bear=144.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:58.347: GPS: Good Location received:Location[fused 54.146105,-2.282280 acc=45 et=+4m10s73ms alt=0.0 vel=13.89 bear=144.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:02.352: GPS: Location received:Location[fused 54.145737,-2.281752 acc=33 et=+4m14s76ms alt=0.0 vel=13.89 bear=123.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:02.352: GPS: Good Location received:Location[fused 54.145737,-2.281752 acc=33 et=+4m14s76ms alt=0.0 vel=13.89 bear=123.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:06.352: GPS: Location received:Location[fused 54.145897,-2.281083 acc=46 et=+4m18s76ms alt=0.0 vel=13.89 bear=36.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:06.352: GPS: Good Location received:Location[fused 54.145897,-2.281083 acc=46 et=+4m18s76ms alt=0.0 vel=13.89 bear=36.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:10.343: GPS: Location received:Location[fused 54.146295,-2.280578 acc=32 et=+4m22s71ms alt=0.0 vel=13.89 bear=36.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:10.344: GPS: Good Location received:Location[fused 54.146295,-2.280578 acc=32 et=+4m22s71ms alt=0.0 vel=13.89 bear=36.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:12.348: GPS: Location received:Location[fused 54.146489,-2.280318 acc=33 et=+4m24s76ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
